word_title,date,count
to,"July 19, 2019",5
to,"July 21, 2020",5
to,"July 26, 2018",5
to,"July 26, 2022",5
|,"July 28, 2014",5
to,"July 7, 2022",5
No,"July 8, 2013",5
for,"July 9, 2012",5
space,"July 9, 2019",5
for,"June 1, 2015",5
to,"June 10, 2021",5
to,"June 15, 2023",5
to,"June 16, 2021",5
to,"June 17, 2020",5
to,"June 2, 2021",5
and,"June 23, 2020",5
to,"June 25, 2021",5
To,"June 28, 2010",5
launch,"June 28, 2022",5
to,"June 6, 2017",5
space,"June 6, 2017",5
to,"June 8, 2017",5
to,"June 9, 2023",5
to,"March 1, 2021",5
for,"March 1, 2022",5
for,"March 10, 2015",5
from,"March 11, 2014",5
for,"March 16, 2015",5
To,"March 17, 2015",5
for,"March 17, 2015",5
to,"March 18, 2021",5
to,"March 20, 2019",5
for,"March 21, 2022",5
satellite,"March 21, 2022",5
to,"March 23, 2021",5
space,"March 23, 2021",5
launch,"March 23, 2022",5
pandemic,"March 25, 2020",5
the,"March 26, 2019",5
To,"March 29, 2010",5
|,"March 3, 2015",5
to,"March 31, 2023",5
for,"March 4, 2020",5
to,"May 12, 2021",5
Space,"May 20, 2013",5
to,"May 21, 2019",5
to,"May 22, 2019",5
to,"May 22, 2023",5
Space,"May 23, 2011",5
to,"May 23, 2022",5
for,"May 24, 2023",5
Space,"May 28, 2019",5
to,"May 29, 2019",5
To,"May 3, 2010",5
to,"May 8, 2019",5
to,"November 10, 2020",5
on,"November 12, 2012",5
of,"November 12, 2012",5
Space,"November 16, 2015",5
for,"November 19, 2021",5
to,"November 21, 2019",5
to,"November 23, 2022",5
to,"November 3, 2022",5
Space,"November 5, 2012",5
to,"November 5, 2020",5
for,"November 7, 2017",5
to,"November 9, 2020",5
for,"November 9, 2020",5
Spaceport,"October 1, 2011",5
is,"October 1, 2011",5
a,"October 1, 2011",5
Florida,"October 1, 2011",5
as,"October 1, 2011",5
Program,"October 1, 2011",5
Bolden,"October 1, 2011",5
SpaceX,"October 1, 2011",5
to,"October 1, 2020",5
to,"October 11, 2016",5
to,"October 11, 2018",5
the,"October 14, 2013",5
Earth,"October 14, 2013",5
for,"October 14, 2013",5
to,"October 14, 2020",5
for,"October 21, 2013",5
to,"October 21, 2019",5
to,"October 21, 2020",5
for,"October 23, 2012",5
|,"October 23, 2012",5
Space,"October 23, 2019",5
for,"October 25, 2017",5
to,"October 27, 2020",5
to,"October 29, 2020",5
to,"October 31, 2022",5
of,"October 6, 2021",5
to,"October 7, 2020",5
commercial,"October 7, 2021",5
|,"September 10, 2014",5
to,"September 11, 2023",5
to,"September 14, 2021",5
to,"September 16, 2020",5
Air,"September 18, 2018",5
Space,"September 18, 2018",5
to,"September 19, 2019",5
to,"September 20, 2017",5
for,"September 21, 2021",5
to,"September 22, 2022",5
|,"September 23, 2013",5
for,"September 25, 2019",5
NASA,"September 27, 2010",5
To,"September 27, 2012",5
to,"September 28, 2017",5
of,"September 30, 2013",5
|,"September 30, 2014",5
to,"September 30, 2022",5
for,"September 7, 2022",5
Space,"September 8, 2014",5
to,"September 8, 2021",5
for,"September 8, 2022",5
space,"April 1, 2019",4
for,"April 10, 2019",4
to,"April 10, 2019",4
Space,"April 11, 2013",4
for,"April 12, 2021",4
to,"April 12, 2023",4
Space,"April 13, 2011",4
of,"April 13, 2011",4
the,"April 13, 2015",4
To,"April 13, 2015",4
|,"April 13, 2015",4
to,"April 13, 2022",4
to,"April 13, 2023",4
To,"April 14, 2010",4
Space,"April 14, 2010",4
on,"April 14, 2014",4
to,"April 14, 2020",4
to,"April 14, 2022",4
for,"April 14, 2023",4
to,"April 14, 2023",4
to,"April 16, 2021",4
on,"April 17, 2018",4
of,"April 17, 2018",4
|,"April 17, 2018",4
for,"April 18, 2011",4
for,"April 18, 2018",4
NASA,"April 18, 2018",4
to,"April 18, 2018",4
to,"April 18, 2023",4
satellite,"April 18, 2023",4
for,"April 19, 2013",4
for,"April 19, 2021",4
Satellite,"April 2, 2010",4
for,"April 20, 2021",4
|,"April 21, 2014",4
to,"April 21, 2021",4
and,"April 22, 2021",4
to,"April 22, 2022",4
in,"April 23, 2018",4
for,"April 23, 2019",4
Satellite,"April 25, 2011",4
to,"April 25, 2018",4
to,"April 25, 2022",4
to,"April 26, 2018",4
to,"April 26, 2021",4
and,"April 28, 2021",4
to,"April 28, 2021",4
in,"April 3, 2015",4
as,"April 3, 2017",4
for,"April 3, 2018",4
Force,"April 3, 2019",4
in,"April 4, 2017",4
space,"April 4, 2022",4
to,"April 5, 2016",4
for,"April 6, 2020",4
to,"April 6, 2021",4
the,"April 7, 2022",4
on,"April 7, 2022",4
to,"April 7, 2022",4
for,"April 8, 2013",4
To,"April 8, 2015",4
Space,"April 8, 2021",4
Force,"April 8, 2021",4
Air,"April 9, 2019",4
satellite,"April 9, 2020",4
on,"August 10, 2016",4
satellite,"August 10, 2021",4
for,"August 10, 2021",4
for,"August 11, 2017",4
launch,"August 11, 2021",4
for,"August 11, 2022",4
|,"August 12, 2013",4
Small,"August 12, 2013",4
space,"August 12, 2021",4
to,"August 13, 2021",4
for,"August 16, 2022",4
for,"August 17, 2016",4
to,"August 18, 2020",4
with,"August 19, 2020",4
for,"August 2, 2022",4
for,"August 20, 2020",4
to,"August 20, 2020",4
to,"August 23, 2021",4
a,"August 23, 2021",4
space,"August 24, 2021",4
Force,"August 24, 2021",4
and,"August 24, 2021",4
the,"August 24, 2021",4
for,"August 24, 2022",4
to,"August 25, 2023",4
and,"August 26, 2013",4
for,"August 26, 2019",4
Space,"August 26, 2020",4
to,"August 26, 2021",4
space,"August 26, 2021",4
on,"August 26, 2021",4
Missile,"August 27, 2012",4
"Chairman,","August 29, 2011",4
•,"August 29, 2018",4
for,"August 29, 2018",4
Space:,"August 30, 2010",4
10,"August 30, 2010",4
in,"August 30, 2010",4
Who,"August 30, 2010",4
a,"August 30, 2010",4
Made,"August 30, 2010",4
Difference,"August 30, 2010",4
for,"August 30, 2013",4
to,"August 30, 2018",4
Space,"August 31, 2020",4
for,"August 4, 2017",4
launches,"August 4, 2022",4
|,"August 5, 2015",4
to,"August 5, 2019",4
to,"August 5, 2020",4
for,"August 5, 2021",4
and,"August 5, 2021",4
Space,"August 5, 2021",4
to,"August 6, 2019",4
of,"August 7, 2018",4
for,"August 7, 2019",4
for,"August 8, 2018",4
of,"August 8, 2019",4
the,"August 8, 2019",4
to,"August 8, 2022",4
to,"August 9, 2017",4
Space,"August 9, 2021",4
for,"August 9, 2022",4
for,"December 10, 2020",4
for,"December 12, 2022",4
to,"December 14, 2021",4
in,"December 14, 2022",4
from,"December 14, 2022",4
space,"December 14, 2022",4
first,"December 14, 2022",4
to,"December 14, 2022",4
and,"December 14, 2022",4
for,"December 15, 2014",4
launch,"December 15, 2021",4
Space,"December 15, 2021",4
with,"December 15, 2022",4
Space,"December 15, 2022",4
Space,"December 16, 2020",4
for,"December 19, 2011",4
Space,"December 2, 2013",4
the,"December 20, 2018",4
to,"December 22, 2021",4
to,"December 23, 2021",4
to,"December 26, 2019",4
for,"December 3, 2012",4
mission,"December 3, 2018",4
to,"December 4, 2019",4
Space,"December 5, 2017",4
in,"December 6, 2010",4
Launch,"December 6, 2010",4
to,"December 6, 2021",4
for,"December 6, 2022",4
Force,"December 7, 2019",4
for,"December 7, 2019",4
Space,"December 8, 2014",4
to,"December 8, 2017",4
Launch,"December 9, 2011",4
Force,"December 9, 2020",4
to,"December 9, 2022",4
NASA,"February 11, 2013",4
for,"February 11, 2013",4
U.S.,"February 13, 2020",4
Space,"February 14, 2011",4
To,"February 14, 2011",4
U.S.,"February 14, 2011",4
to,"February 14, 2011",4
on,"February 14, 2017",4
of,"February 14, 2022",4
Space,"February 15, 2010",4
of,"February 18, 2013",4
Mars,"February 18, 2021",4
to,"February 19, 2018",4
to,"February 19, 2019",4
of,"February 21, 2011",4
to,"February 22, 2018",4
and,"February 22, 2018",4
to,"February 22, 2022",4
and,"February 23, 2021",4
Space,"February 24, 2014",4
satellites,"February 24, 2021",4
to,"February 24, 2021",4
a,"February 25, 2021",4
to,"February 25, 2021",4
to,"February 26, 2020",4
for,"February 26, 2021",4
5,"February 27, 2012",4
Force,"February 27, 2020",4
|,"February 3, 2014",4
Space,"February 3, 2022",4
for,"February 4, 2020",4
for,"February 7, 2018",4
for,"February 8, 2023",4
of,"January 10, 2023",4
to,"January 11, 2022",4
to,"January 12, 2022",4
|,"January 13, 2014",4
of,"January 14, 2021",4
Launch,"January 16, 2012",4
to,"January 17, 2023",4
To,"January 19, 2015",4
of,"January 19, 2023",4
for,"January 20, 2021",4
To,"January 22, 2015",4
in,"January 23, 2012",4
To,"January 23, 2015",4
for,"January 24, 2014",4
to,"January 24, 2023",4
for,"January 26, 2021",4
the,"January 27, 2015",4
to,"January 27, 2020",4
space,"January 29, 2019",4
in,"January 29, 2019",4
for,"January 30, 2012",4
To,"January 31, 2011",4
on,"January 31, 2013",4
to,"January 31, 2020",4
Space,"January 31, 2023",4
of,"January 31, 2023",4
NASA,"January 4, 2010",4
for,"January 4, 2010",4
launch,"January 7, 2020",4
the,"July 10, 2017",4
on,"July 10, 2018",4
to,"July 10, 2020",4
to,"July 10, 2023",4
To,"July 11, 2014",4
to,"July 11, 2018",4
for,"July 12, 2013",4
to,"July 12, 2019",4
for,"July 13, 2017",4
of,"July 14, 2022",4
|,"July 15, 2013",4
for,"July 15, 2014",4
of,"July 16, 2020",4
Space,"July 16, 2020",4
to,"July 17, 2019",4
To,"July 18, 2014",4
to,"July 21, 2017",4
NASA,"July 22, 2013",4
Space,"July 22, 2013",4
|,"July 22, 2013",4
to,"July 22, 2020",4
in,"July 22, 2020",4
of,"July 24, 2014",4
to,"July 25, 2023",4
on,"July 26, 2021",4
to,"July 26, 2023",4
for,"July 28, 2020",4
for,"July 31, 2014",4
the,"July 4, 2020",4
to,"July 5, 2017",4
in,"July 6, 2018",4
to,"July 6, 2023",4
No,"July 7, 2014",4
NASA,"July 9, 2012",4
NASA,"June 1, 2010",4
to,"June 11, 2019",4
to,"June 12, 2019",4
To,"June 13, 2011",4
•,"June 13, 2018",4
for,"June 14, 2010",4
To,"June 14, 2012",4
for,"June 14, 2022",4
to,"June 14, 2023",4
of,"June 16, 2014",4
to,"June 16, 2016",4
to,"June 16, 2019",4
to,"June 16, 2020",4
for,"June 16, 2022",4
in,"June 17, 2014",4
Industry,"June 17, 2014",4
the,"June 17, 2014",4
to,"June 17, 2019",4
new,"June 17, 2020",4
in,"June 17, 2021",4
for,"June 18, 2013",4
to,"June 18, 2020",4
to,"June 19, 2019",4
|,"June 23, 2014",4
to,"June 23, 2020",4
Space,"June 23, 2021",4
to,"June 26, 2020",4
Space,"June 27, 2018",4
the,"June 27, 2018",4
Air,"June 28, 2010",4
Force,"June 28, 2010",4
to,"June 28, 2021",4
for,"June 29, 2017",4
to,"June 29, 2023",4
and,"June 3, 2019",4
to,"June 30, 2016",4
to,"June 30, 2020",4
to,"June 30, 2021",4
Space,"June 30, 2021",4
for,"June 6, 2011",4
for,"June 6, 2018",4
to,"June 6, 2019",4
to,"June 7, 2016",4
Space,"June 7, 2023",4
to,"June 8, 2023",4
to,"June 9, 2017",4
launch,"June 9, 2022",4
Space,"March 1, 2010",4
of,"March 1, 2022",4
To,"March 10, 2015",4
for,"March 10, 2017",4
|,"March 11, 2014",4
for,"March 11, 2014",4
2014,"March 11, 2014",4
News,"March 11, 2014",4
to,"March 11, 2019",4
Satellite,"March 12, 2014",4
for,"March 12, 2018",4
for,"March 12, 2019",4
to,"March 12, 2020",4
Space,"March 13, 2019",4
Space,"March 13, 2023",4
Launch,"March 14, 2011",4
To,"March 14, 2011",4
Space,"March 14, 2017",4
to,"March 15, 2022",4
to,"March 15, 2023",4
to,"March 16, 2020",4
to,"March 16, 2021",4
with,"March 17, 2022",4
satellite,"March 17, 2023",4
to,"March 18, 2019",4
to,"March 18, 2020",4
to,"March 19, 2021",4
to,"March 20, 2018",4
NASA,"March 22, 2010",4
to,"March 22, 2022",4
To,"March 24, 2014",4
to,"March 24, 2020",4
to,"March 25, 2021",4
space,"March 26, 2019",4
to,"March 27, 2018",4
for,"March 29, 2018",4
for,"March 3, 2015",4
to,"March 31, 2020",4
of,"March 7, 2018",4
of,"March 8, 2022",4
in,"March 8, 2022",4
of,"March 9, 2020",4
for,"March 9, 2021",4
for,"March 9, 2022",4
for,"March 9, 2023",4
to,"May 1, 2018",4
to,"May 10, 2019",4
to,"May 11, 2018",4
to,"May 11, 2020",4
Space,"May 11, 2021",4
for,"May 15, 2013",4
for,"May 16, 2017",4
mission,"May 17, 2021",4
to,"May 17, 2021",4
to,"May 18, 2016",4
to,"May 18, 2020",4
for,"May 18, 2021",4
to,"May 18, 2021",4
for,"May 19, 2014",4
in,"May 19, 2021",4
Satellite,"May 2, 2014",4
to,"May 2, 2017",4
and,"May 20, 2013",4
space,"May 20, 2020",4
to,"May 21, 2023",4
of,"May 22, 2018",4
for,"May 22, 2019",4
NASA,"May 23, 2011",4
To,"May 23, 2011",4
on,"May 24, 2018",4
satellite,"May 24, 2023",4
for,"May 25, 2021",4
to,"May 25, 2022",4
with,"May 26, 2021",4
to,"May 27, 2016",4
to,"May 27, 2020",4
to,"May 28, 2019",4
To,"May 29, 2013",4
space,"May 3, 2018",4
to,"May 30, 2018",4
Space,"May 31, 2023",4
